Hum,Macaca,Mouse,Rat
FBXL2,,Fbxl2,Fbxl2
CREG1,CREG1,Creg1,Creg1
S100A13,S100A13,S100a13,S100a13
LEPROTL1,LEPROTL1,Leprotl1,Leprotl1
GZMA,GZMA,Gzma,Gzma
FGA,FGA,Fga,Fga
AMMECR1,AMMECR1,Ammecr1,Ammecr1
GYS2,GYS2,Gys2,Gys2
AGAP1,AGAP1,Agap1,Agap1
DMRT1,DMRT1,Dmrt1,Dmrt1
TNR,TNR,Tnr,Tnr
DUSP19,DUSP19,Dusp19,Dusp19
HOXD12,HOXD12,Hoxd12,Hoxd12
FERMT1,FERMT1,Fermt1,Fermt1
OLIG1,OLIG1,Olig1,Olig1
TNFRSF17,TNFRSF17,Tnfrsf17,Tnfrsf17
CCDC60,CCDC60,Ccdc60,Ccdc60
SLC25A35,SLC25A35,Slc25a35,Slc25a35
NTNG1,NTNG1,Ntng1,Ntng1
DNAJC5,DNAJC5,Dnajc5,Dnajc5
DRAXIN,DRAXIN,Draxin,Draxin
TSPAN8,TSPAN8,Tspan8,Tspan8
DTX3L,DTX3L,Dtx3l,Dtx3l
SREK1IP1,SREK1IP1,Srek1ip1,LOC100362980
TMEM18,,Tmem18,Tmem18
TP53I11,TP53I11,Trp53i11,Tp53i11
KLHL17,KLHL17,Plekhn1,Klhl17
PGAM2,PGAM2,Pgam2,Pgam2
ARL5B,ARL5B,Arl5b,Arl5b
AMACR,AMACR,Amacr,Amacr
RXFP3,RXFP3,Rxfp3,Rxfp3
LNPK,LNPK,Lnpk,Lnpk
PAN3,PAN3,Pan3,Pan3
PRR15,PRR15,Prr15,Prr15
ADGRF3,ADGRF3,Adgrf3,Adgrf3
FLT3,FLT3,Flt3,Flt3
USP19,USP19,Usp19,Usp19
TUBGCP6,TUBGCP6,Tubgcp6,Tubgcp6
TMCO5A,TMCO5A,Tmco5,Tmco5a
EVA1B,EVA1B,Eva1b,Eva1b
GEN1,GEN1,Gen1,Gen1
ADAM7,ADAM7,Adam7,Adam7
GJA8,,Gja8,Gja8
C1orf105,C1orf105,4930558K02Rik,RGD1309106
SCNM1,SCNM1,Scnm1,Scnm1
RASL10A,RASL10A,Rasl10a,Rasl10a
INSL3,INSL3,Insl3,Insl3
CCDC150,CCDC150,Ccdc150,Ccdc150
SNAPC2,SNAPC2,Snapc2,Snapc2
TRPM8,TRPM8,Trpm8,Trpm8
ADAMTS7,ADAMTS7,Adamts7,Adamts7
NR1D2,NR1D2,Nr1d2,Nr1d2
NPPC,NPPC,Nppc,Nppc
STARD6,STARD6,Stard6,Stard6
SLC25A23,SLC25A23,Slc25a23,Slc25a23
SEZ6L2,SEZ6L2,Sez6l2,Sez6l2
NKX2-6,NKX2-6,Nkx2-6,Nkx2-6
BSCL2,BSCL2,Bscl2,Bscl2
CRYGA,CRYGA,Cryga,Cryga
DOCK8,DOCK8,Dock8,Dock8
PROKR2,PROKR2,Prokr2,Prokr2
MROH2A,MROH2A,Mroh2a,Mroh2a
TAPBP,TAPBP,Tapbp,Tapbp
KBTBD11,KBTBD11,Kbtbd11,Kbtbd11
TRPV3,TRPV3,Trpv3,Trpv3
CSK,CSK,Csk,Csk
GALNTL5,GALNTL5,Galntl5,Galntl5
TONSL,TONSL,Tonsl,Tonsl
DEPTOR,DEPTOR,Deptor,Deptor
RAB3IL1,RAB3IL1,Rab3il1,Rab3il1
PER1,PER1,Per1,Per1
NSFL1C,NSFL1C,Nsfl1c,Nsfl1c
BBS5,BBS5,Bbs5,Bbs5
SUN1,SUN1,Sun1,Sun1
SUMF2,,Sumf2,Sumf2
OSBPL8,OSBPL8,Osbpl8,Osbpl8
CEBPZ,CEBPZ,Cebpz,Cebpz
TBCCD1,TBCCD1,Tbccd1,Tbccd1
PAN2,PAN2,Pan2,Pan2
GLB1,,Glb1,Glb1
FOXJ3,FOXJ3,Foxj3,Foxj3
GLYR1,GLYR1,Glyr1,Glyr1
PHKG1,PHKG1,Phkg1,Phkg1
LIPA,LIPA,Lipa,Lipa
MEGF11,MEGF11,Megf11,Megf11
ATRN,ATRN,Atrn,Atrn
RWDD1,RWDD1,Rwdd1,Rwdd1
TMEM132A,TMEM132A,Tmem132a,Tmem132a
ALOXE3,ALOXE3,Aloxe3,Aloxe3
VPS37D,VPS37D,Vps37d,Vps37d
FBXO42,FBXO42,Fbxo42,Fbxo42
ZBTB4,ZBTB4,Zbtb4,Zbtb4
IGSF21,IGSF21,Igsf21,Igsf21
C2orf73,C2orf73,4930505A04Rik,RGD1562229
MIPEP,MIPEP,Mipep,Mipep
STRADB,STRADB,Stradb,Stradb
Sep-06,Sep-06,Sep-06,Sep-06
BUD23,BUD23,Bud23,Wbscr22
PLXNC1,PLXNC1,Plxnc1,Plxnc1
TDG,TDG,Tdg,Tdg
DDHD2,DDHD2,Ddhd2,Ddhd2
GRIPAP1,GRIPAP1,Gripap1,Gripap1
RANBP3,RANBP3,Ranbp3,Ranbp3
PHF5A,PHF5A,Phf5a,Phf5a
NIFK,NIFK,Nifk,Nifk
KLHL26,KLHL26,Klhl26,Klhl26
KLK10,KLK10,Klk10,Klk10
OSGEPL1,OSGEPL1,Osgepl1,Osgepl1
BPHL,BPHL,Bphl,Bphl
HIKESHI,HIKESHI,Hikeshi,Hikeshi
MARK4,,Mark4,Mark4
IPO4,IPO4,Ipo4,Ipo4
SPSB1,SPSB1,Spsb1,Spsb1
TEF,TEF,Tef,Tef
LRRC15,LRRC15,Lrrc15,Lrrc15
MKLN1,MKLN1,Mkln1,Mkln1
RAB26,RAB26,Rab26,Rab26
MYO6,MYO6,Myo6,Myo6
RAB7B,,Rab7b,Rab7b
CPEB4,CPEB4,Cpeb4,Cpeb4
SHMT1,SHMT1,Shmt1,Shmt1
NFU1,NFU1,Nfu1,Nfu1
IL17C,IL17C,Il17c,Il17c
LRRC3C,LRRC3C,Lrrc3c,Lrrc3c
LENG9,LENG9,Leng9,Leng9
MLYCD,MLYCD,Mlycd,Mlycd
GPR137C,GPR137C,Gpr137c,Gpr137c
SLC38A5,SLC38A5,Slc38a5,Slc38a5
CCDC190,CCDC190,Ccdc190,Ccdc190
MMP8,MMP8,Mmp8,Mmp8
CHRNA1,CHRNA1,Chrna1,Chrna1
LMNB1,LMNB1,Lmnb1,Lmnb1
IFIH1,IFIH1,Ifih1,Ifih1
DUSP8,DUSP8,Dusp8,Dusp8
DOCK1,DOCK1,Dock1,Dock1
CNDP2,CNDP2,Cndp2,Cndp2
MBTD1,MBTD1,Mbtd1,Mbtd1
GOT1L1,GOT1L1,Got1l1,Got1l1
HFE,,Hfe,Hfe
VIPR2,VIPR2,Vipr2,Vipr2
KDM4A,KDM4A,Kdm4a,Kdm4a
TNFRSF18,TNFRSF18,Tnfrsf18,Tnfrsf18
LRRIQ4,LRRIQ4,Lrriq4,Lrriq4
TMEM145,TMEM145,Tmem145,Tmem145
ANKRD6,ANKRD6,Ankrd6,Ankrd6
HAND2,HAND2,Hand2,Hand2
BHLHE41,BHLHE41,Bhlhe41,Bhlhe41
KCNG2,KCNG2,Kcng2,Kcng2
Mar-09,Mar-09,Mar-09,Mar-09
TUBD1,TUBD1,Tubd1,Tubd1
LTBP1,LTBP1,Ltbp1,Ltbp1
CIP2A,CIP2A,C330027C09Rik,RGD1310335
RLBP1,RLBP1,Rlbp1,Rlbp1
UBE2V2,,Ube2v2,Ube2v2
TTC28,TTC28,Ttc28,Ttc28
OTOA,OTOA,Otoa,Otoa
PITPNB,PITPNB,Pitpnb,Pitpnb
MCFD2,MCFD2,Mcfd2,Mcfd2
BAG1,BAG1,Bag1,Bag1
PSMA5,PSMA5,Psma5,Psma5
NME1,,Nme1,Nme1
CST6,CST6,Cst6,Cst6
PICALM,PICALM,Picalm,Picalm
GPS2,GPS2,Gps2,Gps2
RRP7A,,Rrp7a,Rrp7a
PRX,PRX,Prx,Prx
EIF3K,EIF3K,Eif3k,Eif3k
POMT2,POMT2,Pomt2,Pomt2
REX1BD,,Rex1bd,RGD1566239
B4GALT4,B4GALT4,B4galt4,B4galt4
FAM8A1,FAM8A1,Fam8a1,Fam8a1
STK25,STK25,Stk25,Stk25
ST6GALNAC3,ST6GALNAC3,St6galnac3,St6galnac3
SORT1,SORT1,Sort1,Sort1
DOK3,DOK3,Dok3,Dok3
RAB11FIP1,RAB11FIP1,Rab11fip1,Rab11fip1
SPAG5,SPAG5,Spag5,Spag5
PCED1A,PCED1A,Pced1a,Pced1a
RSBN1L,RSBN1L,Rsbn1l,Rsbn1l
MAP1A,MAP1A,Map1a,Map1a
TESK2,TESK2,Tesk2,Tesk2
ERBIN,ERBIN,Erbin,Erbin
MTHFD1L,MTHFD1L,Mthfd1l,Mthfd1l
MFSD7,MFSD7,Mfsd7a,Mfsd7
TIMD4,TIMD4,Timd4,Timd4
GOLGA4,GOLGA4,Golga4,Golga4
SLC13A2,SLC13A2,Slc13a2,Slc13a2
TMED7,TMED7,Tmed7,Tmed7
INIP,INIP,Inip,Inip
PRAP1,PRAP1,Prap1,Prap1
EIF1AD,EIF1AD,Eif1ad,Eif1ad
CCDC39,CCDC39,Ccdc39,Ccdc39
CAST,CAST,Cast,Cast
PDHB,PDHB,Pdhb,Pdhb
KHDRBS1,KHDRBS1,Khdrbs1,Khdrbs1
ASB13,ASB13,Asb13,Asb13
MYT1L,,Myt1l,Myt1l
ITSN2,ITSN2,Itsn2,Itsn2
CDKL2,CDKL2,Cdkl2,Cdkl2
MPO,MPO,Mpo,Mpo
Mar-01,Mar-01,Mar-01,Mar-01
MARK2,MARK2,Mark2,Mark2
ARL13B,ARL13B,Arl13b,Arl13b
MYO7B,MYO7B,Myo7b,Myo7b
RFFL,RFFL,Rffl,Rffl
CRTC3,CRTC3,Crtc3,Crtc3
SLC24A3,SLC24A3,Slc24a3,Slc24a3
OR4D1,OR4D1,Olfr464,Olr1522
GRB7,GRB7,Grb7,Grb7
TSPO,TSPO,Tspo,Tspo
LRRN1,LRRN1,Lrrn1,Lrrn1
MARK1,MARK1,Mark1,Mark1
ING4,ING4,Ing4,Ing4
NEU2,NEU2,Neu2,Neu2
ATP2C1,ATP2C1,Atp2c1,Atp2c1
MAP3K8,,Map3k8,Map3k8
PPP1R1A,PPP1R1A,Ppp1r1a,Ppp1r1a
AGXT,AGXT,Agxt,Agxt
FBP2,FBP2,Fbp2,Fbp2
RAB3GAP2,RAB3GAP2,Rab3gap2,Rab3gap2
PAK1,PAK1,Pak1,Pak1
MAP4,,Map4,Map4
TIRAP,TIRAP,Tirap,Tirap
CACNA2D2,CACNA2D2,Cacna2d2,Cacna2d2
FBXO48,FBXO48,Fbxo48,Fbxo48
VARS2,VARS2,Vars2,Vars2
OPTN,OPTN,Optn,Optn
CCDC3,CCDC3,Ccdc3,Ccdc3
POLR2D,POLR2D,Polr2d,Polr2d
NKIRAS2,NKIRAS2,Nkiras2,Nkiras2
EPHX2,EPHX2,Ephx2,Ephx2
BMF,BMF,Bmf,Bmf
UNC5D,UNC5D,Unc5d,Unc5d
ADAMTS10,ADAMTS10,Adamts10,Adamts10
SOX7,SOX7,Sox7,Sox7
IKBKB,IKBKB,Ikbkb,Ikbkb
LINGO2,,Lingo2,Lingo2
ENTPD3,ENTPD3,Entpd3,Entpd3
TRAPPC13,TRAPPC13,Trappc13,Trappc13
SKIDA1,SKIDA1,Skida1,Skida1
LRRC58,LRRC58,Lrrc58,Lrrc58
TAF9B,TAF9B,Taf9b,Taf9b
PTBP2,PTBP2,Ptbp2,Ptbp2
CCDC169,CCDC169,Ccdc169,Ccdc169
Mar-07,Mar-07,Mar-07,Mar-07
CRB1,CRB1,Crb1,Crb1
CNPY3,CNPY3,Cnpy3,Cnpy3
RBM20,RBM20,Rbm20,Rbm20
MYO18B,MYO18B,Myo18b,Myo18b
COPS5,COPS5,Cops5,Cops5
ARFGEF1,ARFGEF1,Arfgef1,Arfgef1
MYF6,MYF6,Myf6,Myf6
GNE,GNE,Gne,Gne
GATAD1,GATAD1,Gatad1,Gatad1
APPL2,APPL2,Appl2,Appl2
C4orf50,C4orf50,Gm1043,AABR07015812.1
PRSS42,PRSS42,Prss42,Prss42
MFSD10,MFSD10,Mfsd10,Mfsd10
CTPS2,CTPS2,Ctps2,Ctps2
CSPG5,CSPG5,Cspg5,Cspg5
CSMD1,CSMD1,Csmd1,Csmd1
RERE,RERE,Rere,Rere
DEAF1,DEAF1,Deaf1,Deaf1
RAB35,RAB35,Rab35,Rab35
LAMB2,LAMB2,Lamb2,Lamb2
C8orf33,,1110038F14Rik,LOC681282
LIPK,LIPK,Lipk,Lipk
ENKUR,ENKUR,Enkur,Enkur
GRK3,,Grk3,Grk3
RRP1B,RRP1B,Rrp1b,Rrp1b
AP1AR,AP1AR,Ap1ar,Ap1ar
PLCXD3,PLCXD3,Plcxd3,Plcxd3
SLC26A7,SLC26A7,Slc26a7,Slc26a7
SLC7A1,SLC7A1,Slc7a1,Slc7a1
SERPINB12,SERPINB12,Serpinb12,Serpinb12
DMAC1,,Dmac1,Tmem261
TSC2,TSC2,Tsc2,Tsc2
LRRC63,LRRC63,Lrrc63,Lrrc63
PRKAR2A,PRKAR2A,Prkar2a,Prkar2a
POLA1,POLA1,Pola1,Pola1
NELFA,NELFA,Nelfa,Nelfa
SOS1,SOS1,Sos1,Sos1
BPIFB4,BPIFB4,Bpifb4,Bpifb4
SH3RF1,SH3RF1,Sh3rf1,Sh3rf1
CNNM1,CNNM1,Cnnm1,Cnnm1
SIGLEC1,SIGLEC1,Siglec1,Siglec1
ACE2,ACE2,Ace2,Ace2
NAV3,NAV3,Nav3,Nav3
NRBP2,NRBP2,Nrbp2,Nrbp2
DHX9,DHX9,Dhx9,Dhx9
UCKL1,UCKL1,Uckl1,Uckl1
ZNF512B,ZNF512B,Zfp512b,Zfp512b
AUP1,AUP1,Aup1,Aup1
GTPBP4,GTPBP4,Gtpbp4,Gtpbp4
AGAP3,AGAP3,Agap3,Agap3
MCCC1,MCCC1,Mccc1,Mccc1
HFM1,HFM1,Hfm1,Hfm1
NUDT5,NUDT5,Nudt5,Nudt5
MROH2B,MROH2B,Mroh2b,Mroh2b
THOC5,THOC5,Thoc5,Thoc5
CTTNBP2NL,CTTNBP2NL,Cttnbp2nl,Cttnbp2nl
DCTN2,DCTN2,Dctn2,Dctn2
PLEKHG6,PLEKHG6,Plekhg6,Plekhg6
MFHAS1,MFHAS1,Mfhas1,Mfhas1
EIF4G3,EIF4G3,Eif4g3,Eif4g3
NXF1,NXF1,Nxf1,Nxf1
ROBO1,ROBO1,Robo1,Robo1
WLS,WLS,Wls,Wls
PDYN,PDYN,Pdyn,Pdyn
UNC13A,UNC13A,Unc13a,Unc13a
SH3BP4,SH3BP4,Sh3bp4,Sh3bp4
KLHL22,KLHL22,Klhl22,Klhl22
SPATA3,SPATA3,Spata3,Spata3
PRAG1,PRAG1,Prag1,Prag1
ZNF598,ZNF598,Zfp598,Zfp598
CPED1,CPED1,Cped1,Cped1
TMEM164,TMEM164,Tmem164,Tmem164
C2CD6,C2CD6,C2cd6,Als2cr11
UBR4,UBR4,Ubr4,Ubr4
MSMB,MSMB,Msmb,Msmb
CALB2,CALB2,Calb2,Calb2
ZBP1,ZBP1,Zbp1,Zbp1
C2orf74,C2orf74,1700093K21Rik,LOC690352
RNASEH2A,RNASEH2A,Rnaseh2a,Rnaseh2a
AIFM1,AIFM1,Aifm1,Aifm1
SARAF,SARAF,Saraf,Saraf
RNASEL,RNASEL,Rnasel,Rnasel
KAT14,KAT14,Kat14,Kat14
IGFBP1,IGFBP1,Igfbp1,Igfbp1
TSTD3,,Tstd3,Tstd3
ADCYAP1R1,ADCYAP1R1,Adcyap1r1,Adcyap1r1
PHLDA1,PHLDA1,Phlda1,Phlda1
MYL2,MYL2,Myl2,Myl2
GSX1,GSX1,Gsx1,Gsx1
PCDH15,PCDH15,Pcdh15,Pcdh15
PPP1R18,PPP1R18,Ppp1r18,Ppp1r18
IHH,IHH,Ihh,Ihh
POLR3K,,Polr3k,Polr3k
LNX2,LNX2,Lnx2,Lnx2
KIAA0319L,KIAA0319L,AU040320,LOC100294508
C1orf141,C1orf141,4921539E11Rik,RGD1562532
P3H1,P3H1,P3h1,P3h1
USP6NL,USP6NL,Usp6nl,Usp6nl
DCTN1,DCTN1,Dctn1,Dctn1
SLC35B3,SLC35B3,Slc35b3,Slc35b3
ROS1,ROS1,Ros1,Ros1
INCENP,INCENP,Incenp,Incenp
XAF1,XAF1,Xaf1,XAF1
NRK,NRK,Nrk,Nrk
CTXN1,CTXN1,Ctxn1,Ctxn1
NDUFA12,NDUFA12,Ndufa12,Ndufa12
CALCR,CALCR,Calcr,Calcr
SCRIB,SCRIB,Scrib,Scrib
DEFB136,DEFB136,Defb42,Defb44
RAD51AP2,RAD51AP2,Rad51ap2,Rad51ap2
C1orf87,C1orf87,Gm12695,RGD1560146
SEC16A,SEC16A,Sec16a,Sec16a
FBLN5,FBLN5,Fbln5,Fbln5
C11orf42,C11orf42,Gm5901,RGD1561034
KRI1,KRI1,Kri1,Kri1
ARHGAP25,ARHGAP25,Arhgap25,Arhgap25
ZNF346,ZNF346,Zfp346,Zfp346
HELB,HELB,Helb,Helb
C11orf70,C11orf70,9230110C19Rik,LOC654482
NEIL2,NEIL2,Neil2,Neil2
SLC12A9,SLC12A9,Slc12a9,Slc12a9
SLC25A1,SLC25A1,Slc25a1,Slc25a1
F13A1,F13A1,F13a1,F13a1
XPNPEP3,XPNPEP3,Xpnpep3,Xpnpep3
WDCP,WDCP,Wdcp,Wdcp
GABARAP,GABARAP,Gabarap,Gabarap
NNT,NNT,Nnt,Nnt
C2orf54,C2orf54,2310007B03Rik,RGD1563692
GNG2,GNG2,Gng2,Gng2
PLCE1,PLCE1,Plce1,Plce1
PXDN,PXDN,Pxdn,Pxdn
CDHR2,CDHR2,Cdhr2,Cdhr2
BLMH,BLMH,Blmh,Blmh
TMEM120A,TMEM120A,Tmem120a,Tmem120a
C9orf84,C9orf84,AI481877,AABR07048387.1
TACC1,TACC1,Tacc1,Tacc1
GULP1,GULP1,Gulp1,Gulp1
SPRY1,SPRY1,Spry1,Spry1
SLC14A2,SLC14A2,Slc14a2,Slc14a2
ACOT4,ACOT4,Acot4,Acot4
FAM91A1,FAM91A1,Fam91a1,Fam91a1
LTBP3,LTBP3,Ltbp3,Ltbp3
SV2C,SV2C,Sv2c,Sv2c
CEBPD,CEBPD,Cebpd,Cebpd
NRBF2,NRBF2,Nrbf2,LOC100363472
NFKBIE,NFKBIE,Nfkbie,Nfkbie
ONECUT2,ONECUT2,Onecut2,Onecut2
POLDIP2,POLDIP2,Poldip2,Poldip2
RHOT1,RHOT1,Rhot1,Rhot1
CARNMT1,CARNMT1,Carnmt1,Carnmt1
PXN,PXN,Pxn,Pxn
SPCS1,SPCS1,Spcs1,Spcs1
COL11A2,COL11A2,Col11a2,Col11a2
CCDC71L,,Ccdc71l,Ccdc71l
ELMO1,ELMO1,Elmo1,Elmo1
ZNF385A,ZNF385A,Zfp385a,Zfp385a
NUP210L,NUP210L,Nup210l,Nup210l
SPOPL,SPOPL,Spopl,Spopl
SLC4A10,SLC4A10,Slc4a10,Slc4a10
HECTD1,HECTD1,Hectd1,Hectd1
DRD3,DRD3,Drd3,Drd3
TMCO2,TMCO2,Tmco2,Tmco2
PLA2R1,PLA2R1,Pla2r1,Pla2r1
ZBTB1,ZBTB1,Zbtb1,Zbtb1
ZNF865,ZNF865,Zfp865,LOC100911196
CLCC1,CLCC1,Clcc1,Clcc1
DNAJC1,DNAJC1,Dnajc1,Dnajc1
IQGAP3,IQGAP3,Iqgap3,Iqgap3
WISP3,WISP3,Wisp3,Wisp3
EPRS,EPRS,Eprs,Eprs
ASH1L,ASH1L,Ash1l,Ash1l
SLC25A43,SLC25A43,Slc25a43,Slc25a43
XDH,XDH,Xdh,Xdh
OXSM,OXSM,Oxsm,Oxsm
CLEC4D,CLEC4D,Clec4d,Clec4d
TMEM200C,TMEM200C,Tmem200c,Tmem200c
PLSCR4,PLSCR4,Plscr4,Plscr4
ARFGAP3,ARFGAP3,Arfgap3,Arfgap3
ATP13A5,ATP13A5,Atp13a5,Atp13a5
ZNF771,ZNF771,Zfp771,Zfp771
CCT7,CCT7,Cct7,Cct7
PDSS1,PDSS1,Pdss1,Pdss1
ZNF385B,ZNF385B,Zfp385b,Zfp385b
CCDC12,CCDC12,Ccdc12,Ccdc12
FAM76B,FAM76B,Fam76b,Fam76b
AGMO,AGMO,Agmo,Agmo
DNAJC28,DNAJC28,Dnajc28,Dnajc28
PPP1CA,PPP1CA,Ppp1ca,Ppp1ca
PTDSS1,PTDSS1,Ptdss1,Ptdss1
DGKB,DGKB,Dgkb,Dgkb
ZNF48,ZNF48,Zfp553,Znf48
LALBA,LALBA,Lalba,Lalba
SYPL1,SYPL1,Sypl,Sypl1
SMARCD3,SMARCD3,Smarcd3,Smarcd3
SF3A2,SF3A2,Sf3a2,Sf3a2
EHF,EHF,Ehf,Ehf
TMEM220,TMEM220,Tmem220,Tmem220
FOXC1,FOXC1,Foxc1,Foxc1
MATN3,MATN3,Matn3,Matn3
TRPC4,TRPC4,Trpc4,Trpc4
EXTL1,EXTL1,Extl1,Extl1
CIB4,CIB4,Cib4,Cib4
LRRC19,LRRC19,Lrrc19,Lrrc19
HENMT1,HENMT1,Henmt1,Henmt1
EIF3I,EIF3I,Eif3i,
SOX18,SOX18,Sox18,Sox18
COL4A3BP,COL4A3BP,Col4a3bp,Col4a3bp
REEP4,REEP4,Reep4,Reep4
GLIS2,GLIS2,Glis2,Glis2
GART,GART,Gart,Gart
MYH3,MYH3,Myh3,Myh3
RAB7A,RAB7A,Rab7,Rab7a
GNA15,GNA15,Gna15,Gna15
FEZF1,FEZF1,Fezf1,Fezf1
MBD1,MBD1,Mbd1,Mbd1
RNF222,RNF222,Rnf222,Rnf222
HOXD8,,Hoxd8,Hoxd8
CSF3R,CSF3R,Csf3r,Csf3r
KSR1,KSR1,Ksr1,Ksr1
AP3M2,AP3M2,Ap3m2,Ap3m2
FOPNL,FOPNL,Fopnl,Fopnl
CRYBB2,,Crybb2,Crybb2
C6,C6,C6,C6
MAP3K2,MAP3K2,Map3k2,Map3k2
YAF2,YAF2,Yaf2,Yaf2
IRF4,IRF4,Irf4,Irf4
CRTC2,CRTC2,Crtc2,Crtc2
TTC32,TTC32,Ttc32,Ttc32
GC,GC,Gc,Gc
GNA11,GNA11,Gna11,Gna11
SLC16A9,SLC16A9,Slc16a9,
TSG101,TSG101,Tsg101,Tsg101
AFF3,AFF3,Aff3,Aff3
MANBA,MANBA,Manba,Manba
CYB561A3,CYB561A3,Cyb561a3,Cyb561a3
LAMP3,LAMP3,Lamp3,Lamp3
PPFIA4,PPFIA4,Ppfia4,Ppfia4
GNPNAT1,GNPNAT1,Gnpnat1,Gnpnat1
UPRT,UPRT,Uprt,Uprt
CERS5,CERS5,Cers5,Cers5
B3GNT9,B3GNT9,B3gnt9,B3gnt9
FGFR1OP2,FGFR1OP2,Fgfr1op2,Fgfr1op2
NBEAL1,NBEAL1,Nbeal1,Nbeal1
RASSF10,RASSF10,Rassf10,Rassf10
STIP1,STIP1,Stip1,Stip1
SOX30,SOX30,Sox30,Sox30
LRRIQ1,LRRIQ1,Lrriq1,Lrriq1
ORC1,ORC1,Orc1,Orc1
PDE8B,PDE8B,Pde8b,Pde8b
CAB39L,CAB39L,Cab39l,Cab39l
WHAMM,WHAMM,Whamm,Whamm
SLC25A11,SLC25A11,Slc25a11,Slc25a11
PSMC6,PSMC6,Psmc6,Psmc6
MSX2,MSX2,Msx2,Msx2
BSX,BSX,Bsx,Bsx
PAXX,PAXX,Paxx,RGD1306215
NCAPG,NCAPG,Ncapg,Ncapg
RBPJL,RBPJL,Rbpjl,Rbpjl
CNFN,,Cnfn,Cnfn
KCNH7,KCNH7,Kcnh7,Kcnh7
LRRIQ3,LRRIQ3,Lrriq3,Lrriq3
GCA,GCA,Gca,Gca
FCHSD2,FCHSD2,Fchsd2,Fchsd2
AMIGO1,AMIGO1,Amigo1,Amigo1
HNF1B,HNF1B,Hnf1b,Hnf1b
NRAP,NRAP,Nrap,Nrap
PURB,PURB,Purb,Purb
RPS6KB1,RPS6KB1,Rps6kb1,Rps6kb1
FNDC9,FNDC9,Fndc9,Fndc9
METTL7B,METTL7B,Mettl7b,Mettl7b
AGAP2,AGAP2,Agap2,Agap2
OR5A2,OR5A2,Olfr1438-ps1,Olr332
IKZF5,IKZF5,Ikzf5,Ikzf5
KCTD6,KCTD6,Kctd6,Kctd6
NCOA7,NCOA7,Ncoa7,Ncoa7
WFDC5,WFDC5,Wfdc5,Wfdc5
PTGER2,PTGER2,Ptger2,Ptger2
IL20RA,IL20RA,Il20ra,Il20ra
HAL,HAL,Hal,Hal
MED7,MED7,Med7,Med7
RAB29,RAB29,Rab29,Rab29
DTX4,DTX4,Dtx4,Dtx4
RFX3,RFX3,Rfx3,Rfx3
PRRC2B,PRRC2B,Prrc2b,Prrc2b
EFCAB9,EFCAB9,Efcab9,Efcab9
DRP2,DRP2,Drp2,Drp2
HEY2,HEY2,Hey2,Hey2
H2AFV,H2AFV,H2afv,H2afv
GLTPD2,GLTPD2,Gltpd2,Gltpd2
FAM111A,FAM111A,Fam111a,Fam111a
ABHD2,ABHD2,Abhd2,Abhd2
ANGEL2,ANGEL2,Angel2,Angel2
YBX2,YBX2,Ybx2,Ybx2
LRRC14B,LRRC14B,Lrrc14b,Lrrc14b
DBN1,DBN1,Dbn1,Dbn1
GABRR1,GABRR1,Gabrr1,Gabrr1
ATP5I,ATP5I,Atp5k,Atp5i
TMEM8A,TMEM8A,Tmem8,Tmem8a
ALDOC,ALDOC,Aldoc,Aldoc
SLC6A12,SLC6A12,Slc6a12,Slc6a12
HCN1,HCN1,Hcn1,Hcn1
RNF216,RNF216,Rnf216,Rnf216
SGCD,SGCD,Sgcd,Sgcd
BRSK2,BRSK2,Brsk2,Brsk2
SLC17A1,SLC17A1,Slc17a1,Slc17a1
TSSK6,TSSK6,Tssk6,Tssk6
GRIK4,GRIK4,Grik4,Grik4
PTGER3,PTGER3,Ptger3,Ptger3
TCERG1,TCERG1,Tcerg1,Tcerg1
USP15,USP15,Usp15,Usp15
CCDC189,CCDC189,Ccdc189,Ccdc189
XKRX,XKRX,Xkrx,Xkrx
CAMP,CAMP,Camp,Camp
CALML4,CALML4,Calml4,Calml4
SNX13,SNX13,Snx13,Snx13
ZNF551,ZNF551,Zfp551,Zfp551
HAPLN3,HAPLN3,Hapln3,Hapln3
ADAMTSL5,ADAMTSL5,Adamtsl5,Adamtsl5
LMNTD1,LMNTD1,Lmntd1,Lmntd1
CCDC25,CCDC25,Ccdc25,Ccdc25
SLC8A2,SLC8A2,Slc8a2,Slc8a2
LAPTM5,LAPTM5,Laptm5,Laptm5
ZNRF1,ZNRF1,Znrf1,Znrf1
LAMC3,LAMC3,Lamc3,Lamc3
STMND1,STMND1,Stmnd1,LOC102554838
PPP1R9B,PPP1R9B,Ppp1r9b,Ppp1r9b
TMPRSS13,TMPRSS13,Tmprss13,Tmprss13
UIMC1,UIMC1,Uimc1,Uimc1
CLPS,CLPS,Clps,Clps
MYO10,MYO10,Myo10,Myo10
CPD,CPD,Cpd,Cpd
PTPRC,PTPRC,Ptprc,Ptprc
CUEDC1,CUEDC1,Cuedc1,Cuedc1
TMEM132E,TMEM132E,Tmem132e,Tmem132e
C11orf95,C11orf95,2700081O15Rik,RGD1560108
ICA1L,ICA1L,Ica1l,Ica1l
MYLIP,MYLIP,Mylip,Mylip
FBXO32,FBXO32,Fbxo32,Fbxo32
SHARPIN,SHARPIN,Sharpin,Sharpin
ADAM15,ADAM15,Adam15,Adam15
NCKAP1L,NCKAP1L,Nckap1l,Nckap1l
